date,open,high,low,close,volume
2020-01-13,90.62,91.715,90.21,91.08,7379830.0
2020-01-10,90.8,90.89,89.63,90.16,7098085.0
2020-01-09,90.25,91.16,90.07,90.53,9450166.0
2020-01-08,87.94,89.35,87.78,88.88,7297235.0
2020-01-07,87.96,88.03,87.13,87.86,6533541.0
2020-01-06,88.11,88.41,87.47,88.13,5409850.0
2020-01-03,88.66,89.1,88.1,88.83,4874916.0
2020-01-02,88.12,89.35,88.05,89.35,6475843.0
2019-12-31,87.44,87.99,87.31,87.92,4116734.0
2019-12-30,88.01,88.2,87.06,87.44,4656289.0
2019-12-27,88.11,88.46,87.69,88.13,4130878.0
2019-12-26,88.73,88.76,87.79,88.075,4180261.0
2019-12-24,88.2,88.5977,88.0,88.52,1847770.0
2019-12-23,88.62,88.85,88.175,88.23,4349884.0
2019-12-20,88.785,89.0,87.89,88.46,14271655.0
2019-12-19,87.83,88.585,87.58,88.52,6023454.0
2019-12-18,88.39,88.85,87.815,87.99,5859211.0
2019-12-17,88.87,88.97,87.47,88.13,7297423.0
2019-12-16,89.14,89.3,88.43,88.78,6706045.0
2019-12-13,88.02,88.7897,87.58,88.67,6718109.0
2019-12-12,88.0,88.8868,87.54,88.21,10293873.0
2019-12-11,86.26,86.8699,85.85,86.59,4922698.0
2019-12-10,86.5,87.465,85.91,86.04,7945126.0
2019-12-09,86.31,86.63,85.96,86.28,7170822.0
2019-12-06,85.03,86.53,85.03,86.32,8501814.0
2019-12-05,85.44,85.4826,84.32,84.45,5171388.0
2019-12-04,85.13,85.54,84.7048,85.4,5940602.0
2019-12-03,84.03,85.0,83.8213,84.82,6077628.0
2019-12-02,85.38,85.77,83.82,84.57,6428428.0
2019-11-29,85.91,86.73,85.25,85.43,3857027.0
2019-11-27,84.85,85.81,84.42,85.77,7506564.0
2019-11-26,84.13,84.65,84.0,84.56,7652316.0
2019-11-25,83.16,84.0,82.93,83.75,5450981.0
2019-11-22,82.69,83.39,82.66,83.02,6080782.0
2019-11-21,83.75,84.04,81.762,82.3,8300483.0
2019-11-20,83.54,84.49,82.98,83.6,6251318.0
2019-11-19,84.06,84.28,83.5708,83.66,6010423.0
2019-11-18,83.92,84.11,83.2505,84.02,6433068.0
2019-11-15,84.68,84.94,83.57,84.21,7537205.0
2019-11-14,84.1,84.52,83.8,84.38,5287433.0
